Attribute1,Attribute2,Pearson_Correlation,Spearman_Correlation,Mutual_Information
nprocs,POSIX_OPENS,0.8630453894819565,0.8323450181806706,1.8639709528312656
nprocs,LUSTRE_STRIPE_SIZE,0.0309685811537562,0.0178102943711772,0.0038905708771972
nprocs,LUSTRE_STRIPE_WIDTH,-0.5068839979773117,-0.7788671232765915,0.597648756542279
nprocs,POSIX_FILE_ALIGNMENT,-0.085983775009221,-0.0807808570817586,0.0166510659402305
nprocs,POSIX_READS,0.4633556540057508,0.4621746327739534,1.9005884035315448
nprocs,POSIX_WRITES,0.8109488608977846,0.7572703936931273,1.6494482938923718
nprocs,POSIX_SEEKS,0.5615683333869494,0.6702202107177531,1.867569463767888
nprocs,POSIX_STATS,0.8796941016590791,0.8479219645895747,1.861249791443765
nprocs,POSIX_BYTES_READ,-0.1848542073471084,-0.4202512471096163,1.9039796392371708
nprocs,POSIX_BYTES_WRITTEN,0.8270180819145982,0.7709326378591312,1.6965931802061802
nprocs,POSIX_CONSEC_READS,0.4988195097823422,0.5475591619799884,1.9137863058818216
nprocs,POSIX_CONSEC_WRITES,0.7976459774525643,0.7563470355719764,1.6285179529376097
nprocs,POSIX_SEQ_READS,0.4203139369491667,0.4561939380948453,1.8940334667116847
nprocs,POSIX_SEQ_WRITES,0.8081310893728321,0.7548918012282602,1.6510525370244848
nprocs,POSIX_RW_SWITCHES,0.3905429582191306,0.3997653794630309,0.7287612124003635
nprocs,POSIX_MEM_NOT_ALIGNED,0.8419179509407646,0.8089384199201933,1.6692717697550754
nprocs,POSIX_FILE_NOT_ALIGNED,0.6951294676944758,0.7245933541756605,1.7626067189064627
nprocs,POSIX_SIZE_READ_0_100,0.6994860538450081,0.6796803922843812,1.898083380220759
nprocs,POSIX_SIZE_READ_100_1K,0.2939542203544328,0.264491442469101,1.538315816374511
nprocs,POSIX_SIZE_READ_1K_10K,0.8064489229209835,0.8400894666387918,1.9365121884600256
nprocs,POSIX_SIZE_READ_100K_1M,-0.6811013148172506,-0.6716250659222105,1.061124304581015
nprocs,POSIX_SIZE_WRITE_0_100,0.8043302066272003,0.7527650494284818,1.6222087712364175
nprocs,POSIX_SIZE_WRITE_100_1K,0.6531950956086147,0.6731865485687376,1.52510851122398
nprocs,POSIX_SIZE_WRITE_1K_10K,0.2956816620450839,0.2712506003047636,0.520390805850961
nprocs,POSIX_SIZE_WRITE_10K_100K,0.2703740781837688,0.1970337733941837,0.5574329710528554
nprocs,POSIX_SIZE_WRITE_100K_1M,0.4342586935203698,0.3975100328589163,0.7111973085895587
nprocs,POSIX_STRIDE1_STRIDE,-0.490388702557998,-0.400808480440475,1.2420808384116944
nprocs,POSIX_STRIDE2_STRIDE,-0.5711079724642278,-0.4207748947191942,1.161244048982235
nprocs,POSIX_STRIDE3_STRIDE,-0.7266756186999561,-0.7739286633471295,1.113001459419274
nprocs,POSIX_STRIDE4_STRIDE,-0.7751405946273152,-0.8029176558345014,0.9828871990617856
nprocs,POSIX_STRIDE1_COUNT,-0.6655885464019579,-0.6427315281392911,1.2026784235699468
nprocs,POSIX_STRIDE2_COUNT,-0.5301218629505361,-0.5499835862497467,1.05272691585572
nprocs,POSIX_STRIDE3_COUNT,-0.6166189479834706,-0.6575506414033202,1.0395901924347504
nprocs,POSIX_STRIDE4_COUNT,-0.3850355162949313,-0.6342171653816432,0.7860323394763995
nprocs,POSIX_ACCESS1_ACCESS,-0.7756141025829135,-0.7222228385772518,1.6322224150477471
nprocs,POSIX_ACCESS2_ACCESS,-0.5875609160414029,-0.599057557413997,1.6937848053989883
nprocs,POSIX_ACCESS3_ACCESS,-0.2161880051445252,-0.0699646729877924,1.7521363395679814
nprocs,POSIX_ACCESS4_ACCESS,0.1117492730871378,0.0739604994562426,1.6841241950535175
nprocs,POSIX_ACCESS1_COUNT,0.5478139314107444,0.5112994693104685,1.8169302112861847
nprocs,POSIX_ACCESS2_COUNT,0.4055533131935487,0.4290372971421667,1.7871034439506452
nprocs,POSIX_ACCESS3_COUNT,0.7264755872032048,0.7452296224985432,1.7958542852779278
nprocs,POSIX_ACCESS4_COUNT,0.7094085751284106,0.7449667229584732,1.7924923739806515
nprocs,tag,-0.0600257375942087,-0.1760973036480527,1.0471148003325448
POSIX_OPENS,nprocs,0.8630453894819566,0.8323450181806707,1.8669227473373544
POSIX_OPENS,LUSTRE_STRIPE_SIZE,0.0242532080267156,0.0171712778703838,0.0
POSIX_OPENS,LUSTRE_STRIPE_WIDTH,-0.4992975249682254,-0.7368167452862079,0.7569016417856531
POSIX_OPENS,POSIX_FILE_ALIGNMENT,-0.0784721997156818,-0.0835791137645462,0.0557679994649449
POSIX_OPENS,POSIX_READS,0.6461920958893523,0.6343588036439602,2.912524963525376
POSIX_OPENS,POSIX_WRITES,0.8194295613237637,0.7890667281053876,2.491803969524666
POSIX_OPENS,POSIX_SEEKS,0.6758603153441282,0.7258694734650327,3.1782406891105666
POSIX_OPENS,POSIX_STATS,0.9568235333660404,0.8919716319106296,3.395928007652497
POSIX_OPENS,POSIX_BYTES_READ,-0.0132152586225757,-0.3180537009195353,2.7964259327337
