Pearson_Correlation,Spearman_Correlation,Mutual_Information,Other_Attribute,Combined_Score
0.9323688871800608,0.8567733880317489,1.6136321595808316,POSIX_SEQ_WRITES,1.1342581449308804
0.9635317586998348,0.962564624548937,1.4235044589227377,POSIX_ACCESS1_COUNT,1.1165336140571698
0.9319708101663072,0.8525200831452503,1.5614551512734365,POSIX_CONSEC_WRITES,1.115315348194998
0.9189544247471808,0.8570066337835891,1.569505563086078,POSIX_WRITES,1.1151555405389493
0.9323688871800608,0.8567733880317489,1.556102272503781,POSIX_SEQ_WRITES,1.115081515905197
0.9319708101663072,0.8525200831452503,1.548867791325331,POSIX_CONSEC_WRITES,1.1111195615456295
0.9189544247471808,0.8570066337835891,1.5560369027621253,POSIX_WRITES,1.1106659870976319
0.9635317586998348,0.9625646245489372,1.3857244905659811,POSIX_ACCESS1_COUNT,1.1039402912715843
0.9361601685706002,0.8409401175832995,1.481714226061041,POSIX_SIZE_WRITE_0_100,1.0862715040716469
0.9550092468730716,0.9571716700735634,1.3292227885600023,POSIX_ACCESS2_COUNT,1.0804679018355456
0.9550092468730716,0.9571716700735634,1.319517366250603,POSIX_ACCESS2_COUNT,1.077232761065746
0.9349700708304974,0.7995033203634707,1.491382352377525,POSIX_SIZE_WRITE_100_1K,1.0752852478571644
0.9361601685706002,0.8409401175832995,1.4099918798580644,POSIX_SIZE_WRITE_0_100,1.0623640553373213
0.9349700708304972,0.7995033203634706,1.3755039638780064,POSIX_SIZE_WRITE_100_1K,1.0366591183573248
0.9616935251388036,0.8327438225223941,1.3142819235841563,POSIX_ACCESS4_COUNT,1.0362397570817847
0.9213012025471524,0.9521452377174032,1.2124511117725514,POSIX_CONSEC_READS,1.0286325173457023
0.9213012025471522,0.9521452377174032,1.1988488335714726,POSIX_CONSEC_READS,1.0240984246120093
0.9616935251388036,0.8327438225223942,1.249903261787352,POSIX_ACCESS4_COUNT,1.0147802031495166
0.9053545129641252,0.8159909972240414,1.2487926579960875,POSIX_READS,0.9900460560614182
0.9710854700986332,0.8293979881603746,1.1691014727995102,POSIX_ACCESS3_COUNT,0.9898616436861727
0.9053545129641252,0.8159909972240414,1.2336582595965768,POSIX_READS,0.9850012565949146
0.9139122995053486,0.8193052645278786,1.2169371819807857,POSIX_OPENS,0.9833849153380042
0.9710854700986332,0.8293979881603746,1.1294175112714369,POSIX_ACCESS3_COUNT,0.9766336565101482
0.8885597540580383,0.8150702933369749,1.2104118512644946,POSIX_SEQ_READS,0.9713472995531692
0.908076032992733,0.819209059997874,1.1799457375651166,POSIX_STATS,0.9690769435185745
0.8928819073761054,0.7974065067520564,1.2088778618642098,POSIX_SIZE_READ_0_100,0.9663887586641238
0.8885597540580383,0.815070293336975,1.1904385411002316,POSIX_SEQ_READS,0.9646895294984149
0.9138036041406442,0.7853899135307066,1.187851809082518,POSIX_SIZE_READ_1K_10K,0.9623484422512897
0.9186875437835368,0.8169929035976979,1.1220001208497956,POSIX_MEM_NOT_ALIGNED,0.9525601894103435
0.913803604140644,0.7853899135307066,1.1511676136789042,POSIX_SIZE_READ_1K_10K,0.9501203771167516
0.908076032992733,0.8192090599978739,1.1217743386082797,POSIX_STATS,0.949686477199629
0.8928819073761054,0.7974065067520564,1.1490679278033555,POSIX_SIZE_READ_0_100,0.9464521139771724
0.849409903204336,0.6969056153534349,1.2688111418320331,POSIX_SEEKS,0.938375553463268
0.9186875437835368,0.8169929035976979,1.0775885351269916,POSIX_MEM_NOT_ALIGNED,0.9377563275027421
0.9139122995053486,0.8193052645278786,1.0714848912158084,POSIX_OPENS,0.9349008184163452
0.7870385103173599,0.5754375630153467,1.3521428123550334,POSIX_BYTES_WRITTEN,0.9048729618959133
0.849409903204336,0.6969056153534349,1.1493658187080271,POSIX_SEEKS,0.898560445755266
0.7870385103173598,0.5754375630153467,1.2911592349036654,POSIX_BYTES_WRITTEN,0.8845451027454573
0.7431582632110315,0.6401405363515251,1.159208240399379,POSIX_SIZE_READ_100_1K,0.8475023466539785
-0.8806177822216127,-0.8480444098366458,0.8069746305684169,POSIX_STRIDE2_STRIDE,0.8452122742088918
-0.8348030310932091,-0.8298042826240379,0.8390432734949482,POSIX_STRIDE1_COUNT,0.8345501957373984
-0.8806177822216128,-0.8480444098366458,0.759145325209241,POSIX_STRIDE2_STRIDE,0.8292691724224999
-0.9022352023554951,-0.7947963895647304,0.790718944655886,POSIX_STRIDE3_STRIDE,0.8292501788587039
-0.9022352023554951,-0.7947963895647304,0.7897621304123295,POSIX_STRIDE3_STRIDE,0.8289312407775183
-0.8747481411322892,-0.8390387043946842,0.769734088785841,POSIX_STRIDE1_STRIDE,0.8278403114376047
