Attribute1,Attribute2,Pearson_Correlation,Spearman_Correlation,Mutual_Information
nprocs,POSIX_OPENS,0.9296180304917553,0.8988869496742307,1.2249410057721164
nprocs,LUSTRE_STRIPE_WIDTH,-0.9652564755526913,-0.9351824501974371,0.8070920818381504
nprocs,POSIX_READS,0.7897968443866148,0.8956561964146541,1.2312712968388382
nprocs,POSIX_WRITES,0.9344455850091056,0.8447119587451006,1.058178066780524
nprocs,POSIX_SEEKS,0.9155500460637841,0.9541409325451639,1.141612730469624
nprocs,POSIX_STATS,0.9390106552194385,0.8994560060162826,1.121816134432201
nprocs,POSIX_BYTES_READ,-0.41218859485666237,-0.6475475291060516,1.0281071469621146
nprocs,POSIX_BYTES_WRITTEN,0.9796978320769183,0.9092779064832305,1.0682943185056966
nprocs,POSIX_CONSEC_READS,0.7262971539566135,0.5629371070416962,1.181405191073174
nprocs,POSIX_CONSEC_WRITES,0.9211857079687226,0.8345624182859607,1.0832743254651036
nprocs,POSIX_SEQ_READS,0.7744894492666715,0.8956561964146541,1.2098438313722906
nprocs,POSIX_SEQ_WRITES,0.9229315952498632,0.841906113089161,1.0249296486887554
nprocs,POSIX_RW_SWITCHES,0.5255699420777235,0.5791035910211478,0.623279959355231
nprocs,POSIX_MEM_NOT_ALIGNED,0.9351736117924005,0.8950933683903302,1.1129902355438697
nprocs,POSIX_FILE_NOT_ALIGNED,0.7689576936907832,0.5135667472324881,1.0046712927819135
nprocs,POSIX_SIZE_READ_0_100,0.9206550891528373,0.8639960864465525,1.2401940115928782
nprocs,POSIX_SIZE_READ_100_1K,0.5976142943202121,0.638240872368354,1.109381735353653
nprocs,POSIX_SIZE_READ_1K_10K,0.8921019605262016,0.8941094802832706,1.0943833165685313
nprocs,POSIX_SIZE_READ_100K_1M,-0.7265581734377906,-0.7308152056992456,0.8063419875923024
nprocs,POSIX_SIZE_WRITE_0_100,0.9118089276750517,0.8471852597307068,0.9694664389304761
nprocs,POSIX_SIZE_WRITE_100_1K,0.8139284649261801,0.7810973649803473,1.0329591074446136
nprocs,POSIX_SIZE_WRITE_1K_10K,0.3420139435848031,0.2618377273283367,0.0
nprocs,POSIX_SIZE_WRITE_10K_100K,0.4428494363620244,0.5490536768789939,0.33695414619324504
nprocs,POSIX_SIZE_WRITE_100K_1M,0.342040355244264,0.2618377273283367,0.0
nprocs,POSIX_STRIDE1_STRIDE,-0.6382781671786291,-0.38526451489606944,0.8359205533626639
nprocs,POSIX_STRIDE2_STRIDE,-0.6540548935697085,-0.38582030632739484,0.8871335130588047
nprocs,POSIX_STRIDE3_STRIDE,-0.7510601952689593,-0.8387542325049752,0.888030576427465
nprocs,POSIX_STRIDE4_STRIDE,-0.7328856602909951,-0.7847847191021105,0.8976728195604271
nprocs,POSIX_STRIDE1_COUNT,-0.6265167390126298,-0.38470872346474394,0.8594597152689363
nprocs,POSIX_STRIDE2_COUNT,-0.4607855769939821,-0.7308152056992456,0.9744281665626122
nprocs,POSIX_STRIDE3_COUNT,-0.45269891190038436,-0.7308152056992456,1.053425374614538
nprocs,POSIX_STRIDE4_COUNT,-0.2884649009049736,-0.7308152056992456,0.9082195288761872
nprocs,POSIX_ACCESS1_ACCESS,-0.9394119364010229,-0.9250047755945932,1.0824411226194093
nprocs,POSIX_ACCESS2_ACCESS,-0.9327763238232137,-0.9368147401074326,1.1452260753694774
nprocs,POSIX_ACCESS3_ACCESS,-0.8536465510120116,-0.7858139147922228,0.9564657164831565
nprocs,POSIX_ACCESS4_ACCESS,0.13570165517768026,-0.3208141091093905,1.0975711304616893
nprocs,POSIX_ACCESS1_COUNT,0.6263372000786184,0.45040013151259506,1.041759457915355
nprocs,POSIX_ACCESS2_COUNT,0.5884717362157409,0.44215581255242625,1.0647761668613462
nprocs,POSIX_ACCESS3_COUNT,0.8348509846181335,0.8681982419044761,1.0039333374266635
nprocs,POSIX_ACCESS4_COUNT,0.8618565296157963,0.876167441923669,0.9673106910664517
nprocs,tag,-0.2980521126246819,-0.35420605394482707,0.968894793160689
POSIX_OPENS,nprocs,0.9296180304917552,0.8988869496742308,1.1616939483174744
POSIX_OPENS,LUSTRE_STRIPE_WIDTH,-0.9082193984526803,-0.9275879117186695,0.6778394016054365
POSIX_OPENS,POSIX_READS,0.9490869265650554,0.9924120227115766,1.5386859480176986
