rank,id,POSIX_F_OPEN_START_TIMESTAMP,POSIX_F_READ_START_TIMESTAMP,POSIX_F_WRITE_START_TIMESTAMP,POSIX_F_CLOSE_START_TIMESTAMP,POSIX_F_OPEN_END_TIMESTAMP,POSIX_F_READ_END_TIMESTAMP,POSIX_F_WRITE_END_TIMESTAMP,POSIX_F_CLOSE_END_TIMESTAMP,POSIX_F_READ_TIME,POSIX_F_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_F_FASTEST_RANK_TIME,POSIX_F_SLOWEST_RANK_TIME,POSIX_F_VARIANCE_RANK_TIME,POSIX_F_VARIANCE_RANK_BYTES
0,6329959920961583796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1696090698242188e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,12081676647536809530,0.015727519989013672,0.016160964965820312,0.0,0.016182899475097656,0.016074657440185547,0.016176462173461914,0.0,0.01618671417236328,5.4836273193359375e-06,0.0,0.0003612041473388672,3.337860107421875e-06,0.0,0.0,0.0,0.0,0.0
0,9019270385924777942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4543533325195312e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,17233738746347876168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038886070251464844,0.0,0.0,0.0,0.0,0.0,0.0
0,10563276375451711199,0.02016425132751465,0.021101713180541992,0.0,0.021116256713867188,0.02102518081665039,0.021111726760864258,0.0,0.021120071411132812,5.7220458984375e-06,0.0,0.0008740425109863281,3.0994415283203125e-06,0.0,0.0,0.0,0.0,0.0
0,16409530009729583527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002951622009277344,0.0,0.0,0.0,0.0,0.0,0.0
0,13248362266925776299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0728836059570312e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,4638787767486382508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004012584686279297,0.0,0.0,0.0,0.0,0.0,0.0
0,10170641380995794425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3365020751953125e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,8697898997669214892,0.025949478149414062,0.026735782623291016,0.0,0.026749134063720703,0.02666759490966797,0.026744604110717773,0.0,0.026752948760986328,4.5299530029296875e-06,0.0,0.0007302761077880859,3.0994415283203125e-06,0.0,0.0,0.0,0.0,0.0
0,7051742911845937566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023317337036132812,0.0,0.0,0.0,0.0,0.0,0.0
0,9236461081719577833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205673217773438e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,2181399625010544346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004012584686279297,0.0,0.0,0.0,0.0,0.0,0.0
0,6528078802042034082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034332275390625,0.0,0.0,0.0,0.0,0.0,0.0
0,2575676175211135484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2159347534179688e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,11727641573666397676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003039836883544922,0.0,0.0,0.0,0.0,0.0,0.0
0,17901672647343149144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003113746643066406,0.0,0.0,0.0,0.0,0.0,0.0
0,9518436409801048664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003483295440673828,0.0,0.0,0.0,0.0,0.0,0.0
0,2863652681302921111,0.039956092834472656,0.04099726676940918,0.0,0.04103255271911621,0.0409088134765625,0.04102730751037598,0.0,0.041036128997802734,2.5510787963867188e-05,0.0,0.0009708404541015625,2.384185791015625e-05,0.0,0.0,0.0,0.0,0.0
0,2204154745069321427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003845691680908203,0.0,0.0,0.0,0.0,0.0,0.0
